tinyId	domain	domain_full	sub_domain	verbosity	concept_id	expected_cluster	name	noise_tier	instrument	temporal_phrase	anchor_phrase	source_tinyId
synNR13I_t3	neurology	Neurology Assessment	Headache	informational	NR13	headache	Headache pain intensity on numeric rating scale	heavy	NESS Cephalgia Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR13I
synNR13E_t3	neurology	Neurology Assessment	Headache	expansive	NR13	headache	Headache pain intensity rated on the eleven-point numeric rating scale at the time of clinical assessment	heavy	NESS Cephalgia Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR13E
synNR14T_t3	neurology	Neurology Assessment	Headache	terse	NR14	headache	Migraine aura presence	heavy	NESS Cephalgia Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR14T
synNR14I_t3	neurology	Neurology Assessment	Headache	informational	NR14	headache	Migraine with aura classification	heavy	NESS Cephalgia Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR14I
synNR14E_t3	neurology	Neurology Assessment	Headache	expansive	NR14	headache	Migraine with aura classification based on International Classification of Headache Disorders diagnostic criteria	heavy	NESS Cephalgia Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR14E
synNR15T_t3	neurology	Neurology Assessment	Headache	terse	NR15	headache	Monthly headache days	heavy	NESS Cephalgia Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR15T
synNR15I_t3	neurology	Neurology Assessment	Headache	informational	NR15	headache	Monthly headache day frequency count	heavy	NESS Cephalgia Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR15I
synNR15E_t3	neurology	Neurology Assessment	Headache	expansive	NR15	headache	Monthly headache day frequency count from prospective patient headache diary for treatment monitoring	heavy	NESS Cephalgia Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR15E
synNR16T_t3	neurology	Neurology Assessment	Headache	terse	NR16	xdn:demographics	Age at headache onset	heavy	NESS Cephalgia Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR16T
synNR16I_t3	neurology	Neurology Assessment	Headache	informational	NR16	xdn:demographics	Patient age at headache disorder onset	heavy	NESS Cephalgia Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR16I
synNR16E_t3	neurology	Neurology Assessment	Headache	expansive	NR16	xdn:demographics	Patient age at onset of recurrent headache disorder meeting primary headache diagnostic criteria	heavy	NESS Cephalgia Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR16E
synNR17T_t3	neurology	Neurology Assessment	Neuropathy	terse	NR17	neuropathy	Nerve conduction velocity	heavy	NESS Peripheral Nerve Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR17T
synNR17I_t3	neurology	Neurology Assessment	Neuropathy	informational	NR17	neuropathy	Motor nerve conduction velocity measurement	heavy	NESS Peripheral Nerve Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR17I
synNR17E_t3	neurology	Neurology Assessment	Neuropathy	expansive	NR17	neuropathy	Motor nerve conduction velocity measured during standardized electrodiagnostic nerve conduction studies	heavy	NESS Peripheral Nerve Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR17E
synNR18T_t3	neurology	Neurology Assessment	Neuropathy	terse	NR18	neuropathy	Neuropathic pain score	heavy	NESS Peripheral Nerve Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR18T
synNR18I_t3	neurology	Neurology Assessment	Neuropathy	informational	NR18	neuropathy	Neuropathic pain severity score from validated questionnaire	heavy	NESS Peripheral Nerve Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR18I
synNR18E_t3	neurology	Neurology Assessment	Neuropathy	expansive	NR18	neuropathy	Neuropathic pain severity score from validated patient-reported neuropathic pain assessment questionnaire	heavy	NESS Peripheral Nerve Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR18E
synNR19T_t3	neurology	Neurology Assessment	Neuropathy	terse	NR19	neuropathy	Vibration perception threshold	heavy	NESS Peripheral Nerve Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR19T
synNR19I_t3	neurology	Neurology Assessment	Neuropathy	informational	NR19	neuropathy	Vibration perception threshold at the great toe	heavy	NESS Peripheral Nerve Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR19I
synNR19E_t3	neurology	Neurology Assessment	Neuropathy	expansive	NR19	neuropathy	Vibration perception threshold measured at the great toe using quantitative sensory testing biothesiometry	heavy	NESS Peripheral Nerve Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR19E
synNR20T_t3	neurology	Neurology Assessment	Neuropathy	terse	NR20	xdn:lab_values	Hemoglobin A1c in neuropathy workup	heavy	NESS Peripheral Nerve Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR20T
synNR20I_t3	neurology	Neurology Assessment	Neuropathy	informational	NR20	xdn:lab_values	Hemoglobin A1c percentage in peripheral neuropathy workup	heavy	NESS Peripheral Nerve Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR20I
synNR20E_t3	neurology	Neurology Assessment	Neuropathy	expansive	NR20	xdn:lab_values	Hemoglobin A1c percentage measured as part of the comprehensive laboratory evaluation for peripheral neuropathy etiology determination	heavy	NESS Peripheral Nerve Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR20E
